checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,num_existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,credit_risk_label,checking_status_eur,savings_status_eur,credit_amount_eur
no checking account,12,existing credits paid duly till now,radio/television,2141,100-500 DM,4-7 years,3,male : single,none,1,unknown / no property,35,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,87-437 EUR,1873.67
0-200 DM,18,existing credits paid duly till now,radio/television,866,<100 DM,1-4 years,4,male : married/widowed,guarantor,2,real estate,25,none,own,1,unskilled resident,1,none,yes,1,good,0-175 EUR,<87 EUR,757.87
no checking account,4,critical account / other credits,radio/television,1544,<100 DM,4-7 years,2,male : single,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes,1,good,no checking account,<87 EUR,1351.21
<0 DM,24,existing credits paid duly till now,radio/television,1823,<100 DM,unemployed,4,male : single,none,2,car or other (not in attribute 6),30,stores,own,1,management / self-employed / highly qualified,2,none,yes,2,bad,<0 EUR,<87 EUR,1595.38
0-200 DM,6,existing credits paid duly till now,car (new),14555,unknown / no savings account,unemployed,1,male : single,none,2,building society savings / life insurance,23,none,own,1,unemployed / unskilled non-resident,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,unknown / no savings account,12737.63
0-200 DM,21,existing credits paid duly till now,business,2767,100-500 DM,>=7 years,4,male : divorced/separated,none,2,car or other (not in attribute 6),61,bank,rent,2,unskilled resident,1,none,yes,2,bad,0-175 EUR,87-437 EUR,2421.51
no checking account,12,critical account / other credits,radio/television,1291,<100 DM,1-4 years,4,female : divorced/separated/married,none,2,building society savings / life insurance,35,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1129.8
<0 DM,30,existing credits paid duly till now,radio/television,2522,<100 DM,>=7 years,1,male : single,guarantor,3,building society savings / life insurance,39,none,own,1,skilled employee / official,2,none,yes,1,good,<0 EUR,<87 EUR,2207.1
<0 DM,24,existing credits paid duly till now,car (new),915,unknown / no savings account,>=7 years,4,female : divorced/separated/married,none,2,car or other (not in attribute 6),29,bank,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,unknown / no savings account,800.75
no checking account,6,existing credits paid duly till now,radio/television,1595,<100 DM,4-7 years,3,male : single,none,2,building society savings / life insurance,51,none,own,1,skilled employee / official,2,none,yes,1,good,no checking account,<87 EUR,1395.85
<0 DM,48,no credits taken / all paid duly,car (used),4605,<100 DM,>=7 years,3,male : single,none,4,unknown / no property,24,none,for free,2,skilled employee / official,2,none,yes,2,bad,<0 EUR,<87 EUR,4030.01
no checking account,12,critical account / other credits,business,1185,<100 DM,1-4 years,3,female : divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1037.04
no checking account,12,all credits at this bank paid duly,retraining,3447,500-1000 DM,1-4 years,4,female : divorced/separated/married,none,3,real estate,35,none,own,1,unskilled resident,2,none,yes,1,good,no checking account,437-875 EUR,3016.6
no checking account,24,existing credits paid duly till now,business,1258,<100 DM,4-7 years,4,male : single,none,1,real estate,25,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1100.92
no checking account,12,critical account / other credits,radio/television,717,<100 DM,>=7 years,4,male : single,none,4,real estate,52,none,own,3,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,627.47
no checking account,6,no credits taken / all paid duly,car (new),1204,100-500 DM,1-4 years,4,male : single,none,1,unknown / no property,35,bank,rent,1,skilled employee / official,1,none,no,1,good,no checking account,87-437 EUR,1053.67
>=200 DM / salary assignments,24,existing credits paid duly till now,furniture/equipment,1925,<100 DM,1-4 years,2,male : single,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,1684.64
no checking account,18,existing credits paid duly till now,radio/television,433,<100 DM,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee / official,1,none,yes,2,bad,no checking account,<87 EUR,378.93
<0 DM,6,critical account / other credits,car (new),666,>=1000 DM,4-7 years,3,female : divorced/separated/married,none,4,real estate,39,none,own,2,unskilled resident,1,"yes, registered under customer name",yes,1,good,<0 EUR,>=875 EUR,582.84
>=200 DM / salary assignments,12,existing credits paid duly till now,furniture/equipment,2251,<100 DM,1-4 years,1,female : divorced/separated/married,none,2,car or other (not in attribute 6),46,none,own,1,unskilled resident,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,1969.94
0-200 DM,30,existing credits paid duly till now,car (new),2150,<100 DM,1-4 years,4,female : divorced/separated/married,guarantor,2,unknown / no property,24,bank,own,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,1881.55
no checking account,24,delay in paying off in the past,furniture/equipment,4151,100-500 DM,1-4 years,2,male : single,none,3,building society savings / life insurance,35,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,87-437 EUR,3632.7
0-200 DM,9,existing credits paid duly till now,furniture/equipment,2030,unknown / no savings account,4-7 years,2,male : single,none,1,car or other (not in attribute 6),24,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,1776.53
0-200 DM,60,delay in paying off in the past,radio/television,7418,unknown / no savings account,1-4 years,1,male : single,none,1,real estate,27,none,own,1,unskilled resident,1,none,yes,1,good,0-175 EUR,unknown / no savings account,6491.77
no checking account,24,critical account / other credits,radio/television,2684,<100 DM,1-4 years,4,male : single,none,2,real estate,35,none,own,2,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,2348.87
<0 DM,12,all credits at this bank paid duly,radio/television,2149,<100 DM,1-4 years,4,male : divorced/separated,none,1,unknown / no property,29,none,for free,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,1880.67
no checking account,15,existing credits paid duly till now,car (used),3812,100-500 DM,<1 year,1,female : divorced/separated/married,none,4,car or other (not in attribute 6),23,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,87-437 EUR,3336.03
no checking account,11,critical account / other credits,radio/television,1154,100-500 DM,unemployed,4,female : divorced/separated/married,none,4,real estate,57,none,own,3,unskilled resident,1,none,yes,1,good,no checking account,87-437 EUR,1009.91
<0 DM,12,existing credits paid duly till now,furniture/equipment,1657,<100 DM,1-4 years,2,male : single,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,1450.1
<0 DM,24,existing credits paid duly till now,radio/television,1603,<100 DM,>=7 years,4,female : divorced/separated/married,none,4,car or other (not in attribute 6),55,none,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,1402.85
<0 DM,18,critical account / other credits,car (new),5302,<100 DM,>=7 years,2,male : single,none,4,unknown / no property,36,none,for free,3,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,4639.98
no checking account,12,critical account / other credits,education,2748,<100 DM,>=7 years,2,female : divorced/separated/married,none,4,unknown / no property,57,bank,for free,3,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,2404.88
no checking account,10,critical account / other credits,car (new),1231,<100 DM,>=7 years,3,male : single,none,4,real estate,32,none,own,2,unskilled resident,2,none,no,1,good,no checking account,<87 EUR,1077.29
0-200 DM,15,existing credits paid duly till now,radio/television,802,<100 DM,>=7 years,4,male : single,none,3,car or other (not in attribute 6),37,none,own,1,skilled employee / official,2,none,yes,2,bad,0-175 EUR,<87 EUR,701.86
no checking account,36,critical account / other credits,business,6304,unknown / no savings account,>=7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,5516.87
no checking account,24,existing credits paid duly till now,radio/television,1533,<100 DM,<1 year,4,female : divorced/separated/married,none,3,car or other (not in attribute 6),38,stores,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1341.59
<0 DM,14,existing credits paid duly till now,car (new),8978,<100 DM,>=7 years,1,male : divorced/separated,none,4,building society savings / life insurance,45,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",no,2,bad,<0 EUR,<87 EUR,7856.99
no checking account,24,existing credits paid duly till now,radio/television,999,unknown / no savings account,>=7 years,4,male : single,none,2,car or other (not in attribute 6),25,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,874.26
no checking account,18,existing credits paid duly till now,car (new),2662,unknown / no savings account,4-7 years,4,male : single,none,3,building society savings / life insurance,32,none,own,1,skilled employee / official,1,none,no,1,good,no checking account,unknown / no savings account,2329.62
no checking account,12,critical account / other credits,furniture/equipment,1402,500-1000 DM,4-7 years,3,female : divorced/separated/married,none,4,car or other (not in attribute 6),37,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,437-875 EUR,1226.94
0-200 DM,48,all credits at this bank paid duly,car (new),12169,unknown / no savings account,unemployed,4,male : single,co-applicant,4,unknown / no property,36,none,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,10649.55
0-200 DM,48,existing credits paid duly till now,radio/television,3060,<100 DM,4-7 years,4,male : single,none,4,real estate,28,none,own,2,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,2677.92
<0 DM,30,existing credits paid duly till now,repairs,11998,<100 DM,<1 year,1,male : divorced/separated,none,1,unknown / no property,34,none,own,1,unskilled resident,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,10499.91
no checking account,9,existing credits paid duly till now,radio/television,2697,<100 DM,1-4 years,1,male : single,none,2,real estate,32,none,own,1,skilled employee / official,2,none,yes,1,good,no checking account,<87 EUR,2360.25
no checking account,18,critical account / other credits,radio/television,2404,<100 DM,1-4 years,2,female : divorced/separated/married,none,2,car or other (not in attribute 6),26,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,2103.83
<0 DM,12,existing credits paid duly till now,furniture/equipment,1262,unknown / no savings account,>=7 years,2,male : divorced/separated,none,4,building society savings / life insurance,49,none,own,1,unskilled resident,1,"yes, registered under customer name",yes,1,good,<0 EUR,unknown / no savings account,1104.42
no checking account,6,existing credits paid duly till now,furniture/equipment,4611,<100 DM,<1 year,1,female : divorced/separated/married,none,4,building society savings / life insurance,32,none,own,1,skilled employee / official,1,none,yes,2,bad,no checking account,<87 EUR,4035.26
no checking account,24,existing credits paid duly till now,radio/television,1901,100-500 DM,1-4 years,4,male : single,none,4,car or other (not in attribute 6),29,none,rent,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,87-437 EUR,1663.64
no checking account,15,critical account / other credits,car (used),3368,>=1000 DM,>=7 years,3,male : single,none,4,unknown / no property,23,none,rent,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,>=875 EUR,2947.46
no checking account,12,existing credits paid duly till now,furniture/equipment,1574,<100 DM,1-4 years,4,male : single,none,2,real estate,50,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1377.47
>=200 DM / salary assignments,18,all credits at this bank paid duly,radio/television,1445,unknown / no savings account,4-7 years,4,male : single,none,4,car or other (not in attribute 6),49,bank,own,1,unskilled resident,1,none,yes,1,good,>=175 EUR / salary assignments,unknown / no savings account,1264.57
no checking account,15,critical account / other credits,furniture/equipment,1520,unknown / no savings account,>=7 years,4,male : single,none,4,building society savings / life insurance,63,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,1330.21
0-200 DM,24,critical account / other credits,car (new),3878,100-500 DM,<1 year,4,male : divorced/separated,none,2,car or other (not in attribute 6),37,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,87-437 EUR,3393.79
<0 DM,47,existing credits paid duly till now,car (new),10722,<100 DM,<1 year,1,female : divorced/separated/married,none,1,real estate,35,none,own,1,unskilled resident,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,9383.23
<0 DM,48,existing credits paid duly till now,car (used),4788,<100 DM,4-7 years,4,male : single,none,3,building society savings / life insurance,26,none,own,1,skilled employee / official,2,none,yes,1,good,<0 EUR,<87 EUR,4190.16
0-200 DM,48,delay in paying off in the past,others,7582,100-500 DM,unemployed,2,male : single,none,4,unknown / no property,31,none,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,87-437 EUR,6635.3
0-200 DM,12,existing credits paid duly till now,radio/television,1092,<100 DM,1-4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,955.65
<0 DM,24,delay in paying off in the past,radio/television,1024,<100 DM,<1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,896.14
no checking account,12,existing credits paid duly till now,business,1076,<100 DM,1-4 years,2,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under customer name",no,1,good,no checking account,<87 EUR,941.65
0-200 DM,36,existing credits paid duly till now,car (used),9398,<100 DM,<1 year,1,male : married/widowed,none,4,car or other (not in attribute 6),28,none,rent,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,8224.55
<0 DM,24,critical account / other credits,car (used),6419,<100 DM,>=7 years,2,female : divorced/separated/married,none,4,unknown / no property,44,none,for free,2,management / self-employed / highly qualified,2,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,5617.51
>=200 DM / salary assignments,42,critical account / other credits,car (used),4796,<100 DM,>=7 years,4,male : single,none,4,unknown / no property,56,none,for free,1,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,4197.16
no checking account,48,critical account / other credits,business,7629,unknown / no savings account,>=7 years,4,male : divorced/separated,none,2,car or other (not in attribute 6),46,bank,own,2,management / self-employed / highly qualified,2,none,yes,1,good,no checking account,unknown / no savings account,6676.43
0-200 DM,48,existing credits paid duly till now,furniture/equipment,9960,<100 DM,<1 year,1,female : divorced/separated/married,none,2,car or other (not in attribute 6),26,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,8716.37
no checking account,12,existing credits paid duly till now,car (used),4675,unknown / no savings account,<1 year,1,female : divorced/separated/married,none,4,car or other (not in attribute 6),20,none,rent,1,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,4091.27
no checking account,10,existing credits paid duly till now,car (new),1287,unknown / no savings account,>=7 years,4,male : single,co-applicant,2,building society savings / life insurance,45,none,own,1,unskilled resident,1,none,no,1,good,no checking account,unknown / no savings account,1126.3
no checking account,18,existing credits paid duly till now,furniture/equipment,2515,<100 DM,1-4 years,3,male : single,none,4,real estate,43,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,2200.97
0-200 DM,21,critical account / other credits,furniture/equipment,2745,>=1000 DM,4-7 years,3,male : single,none,2,car or other (not in attribute 6),32,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,>=875 EUR,2402.25
no checking account,6,existing credits paid duly till now,car (new),672,<100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed / unskilled non-resident,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,588.09
0-200 DM,36,no credits taken / all paid duly,radio/television,3804,<100 DM,1-4 years,4,female : divorced/separated/married,none,1,car or other (not in attribute 6),42,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,3329.03
>=200 DM / salary assignments,24,critical account / other credits,car (new),1344,unknown / no savings account,4-7 years,4,male : single,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes,2,bad,>=175 EUR / salary assignments,unknown / no savings account,1176.19
<0 DM,10,critical account / other credits,car (new),1038,<100 DM,4-7 years,4,male : single,co-applicant,3,building society savings / life insurance,49,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,908.39
no checking account,48,critical account / other credits,car (new),10127,500-1000 DM,1-4 years,2,male : single,none,2,unknown / no property,44,bank,for free,1,skilled employee / official,1,none,yes,2,bad,no checking account,437-875 EUR,8862.52
no checking account,6,existing credits paid duly till now,furniture/equipment,1543,>=1000 DM,1-4 years,4,male : divorced/separated,none,2,real estate,33,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,>=875 EUR,1350.34
no checking account,30,existing credits paid duly till now,car (used),4811,unknown / no savings account,4-7 years,2,female : divorced/separated/married,none,4,building society savings / life insurance,24,stores,rent,1,unskilled resident,1,none,yes,1,good,no checking account,unknown / no savings account,4210.29
<0 DM,12,existing credits paid duly till now,radio/television,727,100-500 DM,<1 year,4,male : married/widowed,none,3,unknown / no property,33,none,own,1,unskilled resident,1,"yes, registered under customer name",yes,2,bad,<0 EUR,87-437 EUR,636.23
0-200 DM,8,existing credits paid duly till now,furniture/equipment,1237,<100 DM,1-4 years,3,female : divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,1082.55
0-200 DM,9,existing credits paid duly till now,car (new),276,<100 DM,1-4 years,4,male : married/widowed,none,4,real estate,22,none,rent,1,unskilled resident,1,none,yes,1,good,0-175 EUR,<87 EUR,241.54
0-200 DM,48,existing credits paid duly till now,others,5381,unknown / no savings account,unemployed,3,male : single,none,4,unknown / no property,40,bank,for free,1,unemployed / unskilled non-resident,1,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,4709.12
no checking account,24,existing credits paid duly till now,furniture/equipment,5511,100-500 DM,1-4 years,4,male : single,none,1,car or other (not in attribute 6),25,stores,own,1,skilled employee / official,1,none,yes,1,good,no checking account,87-437 EUR,4822.89
>=200 DM / salary assignments,24,existing credits paid duly till now,furniture/equipment,3749,<100 DM,<1 year,2,female : divorced/separated/married,none,4,car or other (not in attribute 6),26,none,own,1,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,3280.89
0-200 DM,12,existing credits paid duly till now,car (new),685,<100 DM,4-7 years,2,male : married/widowed,none,3,car or other (not in attribute 6),25,bank,own,1,unskilled resident,1,none,yes,2,bad,0-175 EUR,<87 EUR,599.47
>=200 DM / salary assignments,4,existing credits paid duly till now,car (new),1494,unknown / no savings account,<1 year,1,male : single,none,2,real estate,29,none,own,1,unskilled resident,2,none,no,1,good,>=175 EUR / salary assignments,unknown / no savings account,1307.46
<0 DM,36,all credits at this bank paid duly,furniture/equipment,2746,<100 DM,>=7 years,4,male : single,none,4,car or other (not in attribute 6),31,bank,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,2403.13
<0 DM,12,existing credits paid duly till now,furniture/equipment,708,<100 DM,1-4 years,2,male : single,guarantor,3,building society savings / life insurance,38,none,own,1,unskilled resident,2,none,yes,1,good,<0 EUR,<87 EUR,619.6
0-200 DM,24,existing credits paid duly till now,furniture/equipment,4351,unknown / no savings account,1-4 years,1,female : divorced/separated/married,none,4,building society savings / life insurance,48,none,own,1,unskilled resident,1,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,3807.73
no checking account,12,critical account / other credits,education,701,<100 DM,1-4 years,4,male : single,none,2,car or other (not in attribute 6),32,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,613.47
<0 DM,15,delay in paying off in the past,furniture/equipment,3643,<100 DM,>=7 years,1,female : divorced/separated/married,none,4,building society savings / life insurance,27,none,own,2,unskilled resident,1,none,yes,1,good,<0 EUR,<87 EUR,3188.13
0-200 DM,30,critical account / other credits,car (new),4249,<100 DM,unemployed,4,male : married/widowed,none,2,car or other (not in attribute 6),28,none,own,2,management / self-employed / highly qualified,1,none,yes,2,bad,0-175 EUR,<87 EUR,3718.46
<0 DM,24,existing credits paid duly till now,radio/television,1938,<100 DM,<1 year,4,male : divorced/separated,none,3,building society savings / life insurance,32,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,1696.02
<0 DM,24,existing credits paid duly till now,car (used),2910,<100 DM,4-7 years,2,male : single,none,1,unknown / no property,34,none,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,2546.65
<0 DM,18,existing credits paid duly till now,furniture/equipment,2659,>=1000 DM,1-4 years,4,male : single,none,2,car or other (not in attribute 6),28,none,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,>=875 EUR,2326.99
no checking account,18,critical account / other credits,car (new),1028,<100 DM,1-4 years,4,female : divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,899.64
<0 DM,8,critical account / other credits,car (new),3398,<100 DM,4-7 years,1,male : single,none,4,real estate,39,none,own,2,unskilled resident,1,none,no,1,good,<0 EUR,<87 EUR,2973.72
no checking account,12,critical account / other credits,furniture/equipment,5801,unknown / no savings account,>=7 years,2,male : single,none,4,building society savings / life insurance,49,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,5076.68
no checking account,24,existing credits paid duly till now,car (new),1525,>=1000 DM,4-7 years,4,female : divorced/separated/married,none,3,car or other (not in attribute 6),34,none,own,1,skilled employee / official,2,"yes, registered under customer name",yes,1,good,no checking account,>=875 EUR,1334.59
>=200 DM / salary assignments,36,existing credits paid duly till now,radio/television,4473,<100 DM,>=7 years,4,male : single,none,2,car or other (not in attribute 6),31,none,own,1,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,3914.49
0-200 DM,6,existing credits paid duly till now,radio/television,1068,<100 DM,>=7 years,4,male : single,none,4,car or other (not in attribute 6),28,none,own,1,skilled employee / official,2,none,yes,1,good,0-175 EUR,<87 EUR,934.65
<0 DM,24,critical account / other credits,car (used),6615,<100 DM,unemployed,2,male : single,none,4,unknown / no property,75,none,for free,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,5789.04
no checking account,18,critical account / other credits,education,1864,100-500 DM,1-4 years,4,female : divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee / official,1,none,yes,2,bad,no checking account,87-437 EUR,1631.26
0-200 DM,60,existing credits paid duly till now,car (new),7408,100-500 DM,<1 year,4,female : divorced/separated/married,none,2,building society savings / life insurance,24,none,own,1,management / self-employed / highly qualified,1,none,yes,2,bad,0-175 EUR,87-437 EUR,6483.02
no checking account,48,critical account / other credits,car (used),11590,100-500 DM,1-4 years,2,female : divorced/separated/married,none,4,car or other (not in attribute 6),24,bank,rent,2,unskilled resident,1,none,yes,2,bad,no checking account,87-437 EUR,10142.85
<0 DM,24,no credits taken / all paid duly,furniture/equipment,4110,<100 DM,>=7 years,3,male : single,none,4,unknown / no property,23,bank,rent,2,skilled employee / official,2,none,yes,2,bad,<0 EUR,<87 EUR,3596.82
<0 DM,6,critical account / other credits,furniture/equipment,3384,<100 DM,1-4 years,1,male : divorced/separated,none,4,real estate,44,none,rent,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,2961.47
0-200 DM,13,existing credits paid duly till now,radio/television,2101,<100 DM,<1 year,2,female : divorced/separated/married,guarantor,4,building society savings / life insurance,23,none,own,1,unskilled resident,1,none,yes,1,good,0-175 EUR,<87 EUR,1838.67
<0 DM,15,existing credits paid duly till now,domestic appliances,1275,unknown / no savings account,1-4 years,4,female : divorced/separated/married,none,2,car or other (not in attribute 6),24,none,rent,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,unknown / no savings account,1115.8
<0 DM,24,existing credits paid duly till now,furniture/equipment,4169,<100 DM,1-4 years,4,male : single,none,4,building society savings / life insurance,28,none,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,3648.45
0-200 DM,10,existing credits paid duly till now,furniture/equipment,1521,<100 DM,1-4 years,4,male : divorced/separated,none,2,car or other (not in attribute 6),31,none,own,1,unskilled resident,1,none,yes,1,good,0-175 EUR,<87 EUR,1331.08
0-200 DM,24,critical account / other credits,education,5743,<100 DM,<1 year,2,female : divorced/separated/married,none,4,unknown / no property,24,none,for free,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,5025.92
<0 DM,21,existing credits paid duly till now,furniture/equipment,3599,<100 DM,4-7 years,1,female : divorced/separated/married,none,4,car or other (not in attribute 6),26,none,rent,1,unskilled resident,1,none,yes,1,good,<0 EUR,<87 EUR,3149.62
0-200 DM,18,existing credits paid duly till now,radio/television,3213,500-1000 DM,<1 year,1,male : married/widowed,none,3,real estate,25,none,rent,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,437-875 EUR,2811.82
0-200 DM,18,existing credits paid duly till now,business,4439,<100 DM,>=7 years,1,male : single,co-applicant,1,real estate,33,bank,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,3884.74
>=200 DM / salary assignments,10,existing credits paid duly till now,car (new),3949,<100 DM,<1 year,1,male : single,guarantor,1,building society savings / life insurance,37,none,own,1,unskilled resident,2,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,3455.92
no checking account,15,critical account / other credits,radio/television,1459,<100 DM,1-4 years,4,female : divorced/separated/married,none,2,car or other (not in attribute 6),43,none,own,1,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,1276.83
0-200 DM,13,critical account / other credits,radio/television,882,<100 DM,<1 year,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,771.87
0-200 DM,24,existing credits paid duly till now,radio/television,3758,500-1000 DM,unemployed,1,female : divorced/separated/married,none,4,unknown / no property,23,none,rent,1,unemployed / unskilled non-resident,1,none,yes,1,good,0-175 EUR,437-875 EUR,3288.77
no checking account,6,delay in paying off in the past,business,1743,100-500 DM,1-4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled resident,1,none,yes,1,good,no checking account,87-437 EUR,1525.37
0-200 DM,9,critical account / other credits,education,1136,>=1000 DM,>=7 years,4,male : single,none,3,unknown / no property,32,none,for free,2,skilled employee / official,2,none,yes,2,bad,0-175 EUR,>=875 EUR,994.16
no checking account,9,existing credits paid duly till now,domestic appliances,1236,<100 DM,<1 year,1,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1081.67
0-200 DM,9,existing credits paid duly till now,furniture/equipment,959,<100 DM,1-4 years,1,female : divorced/separated/married,none,2,car or other (not in attribute 6),29,none,own,1,skilled employee / official,1,none,no,2,bad,0-175 EUR,<87 EUR,839.26
no checking account,18,critical account / other credits,car (used),3229,unknown / no savings account,unemployed,2,male : single,none,4,unknown / no property,38,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,2825.82
<0 DM,12,no credits taken / all paid duly,radio/television,6199,<100 DM,1-4 years,4,male : single,none,2,building society savings / life insurance,28,none,rent,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,5424.98
no checking account,10,existing credits paid duly till now,education,727,500-1000 DM,>=7 years,4,male : single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,437-875 EUR,636.23
0-200 DM,24,existing credits paid duly till now,car (new),1246,<100 DM,<1 year,4,male : single,none,2,real estate,23,stores,own,1,unskilled resident,1,none,yes,2,bad,0-175 EUR,<87 EUR,1090.42
